location,lat,long,alt,year,bloom_date,bloom_doy,new_location
kyoto,35.0119831,135.6761135,44,812,812-04-01,92,Kyoto
kyoto,35.0119831,135.6761135,44,815,815-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,831,831-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,851,851-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,853,853-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,864,864-04-09,100,Kyoto
kyoto,35.0119831,135.6761135,44,866,866-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,869,869-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,889,889-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,891,891-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,892,892-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,894,894-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,895,895-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,896,896-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,902,902-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,908,908-04-07,98,Kyoto
kyoto,35.0119831,135.6761135,44,912,912-04-04,95,Kyoto
kyoto,35.0119831,135.6761135,44,913,913-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,917,917-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,923,923-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,926,926-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,930,930-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,933,933-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,941,941-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,949,949-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,950,950-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,955,955-03-30,89,Kyoto
kyoto,35.0119831,135.6761135,44,957,957-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,958,958-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,959,959-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,960,960-04-10,101,Kyoto
kyoto,35.0119831,135.6761135,44,961,961-03-28,87,Kyoto
kyoto,35.0119831,135.6761135,44,963,963-04-04,94,Kyoto
kyoto,35.0119831,135.6761135,44,965,965-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,966,966-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,967,967-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,969,969-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,972,972-04-16,107,Kyoto
kyoto,35.0119831,135.6761135,44,974,974-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,975,975-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,977,977-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,979,979-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,985,985-04-04,94,Kyoto
kyoto,35.0119831,135.6761135,44,989,989-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,991,991-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1000,1000-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1004,1004-04-26,117,Kyoto
kyoto,35.0119831,135.6761135,44,1006,1006-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1007,1007-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1014,1014-04-25,115,Kyoto
kyoto,35.0119831,135.6761135,44,1016,1016-04-20,111,Kyoto
kyoto,35.0119831,135.6761135,44,1017,1017-04-09,99,Kyoto
kyoto,35.0119831,135.6761135,44,1018,1018-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1019,1019-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1029,1029-04-26,116,Kyoto
kyoto,35.0119831,135.6761135,44,1031,1031-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,1032,1032-04-20,111,Kyoto
kyoto,35.0119831,135.6761135,44,1033,1033-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1034,1034-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1036,1036-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1041,1041-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1046,1046-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1048,1048-04-21,112,Kyoto
kyoto,35.0119831,135.6761135,44,1050,1050-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1060,1060-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,1061,1061-04-02,92,Kyoto
kyoto,35.0119831,135.6761135,44,1066,1066-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1071,1071-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1073,1073-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1080,1080-04-11,102,Kyoto
kyoto,35.0119831,135.6761135,44,1083,1083-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1084,1084-04-29,120,Kyoto
kyoto,35.0119831,135.6761135,44,1088,1088-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1090,1090-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1093,1093-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1095,1095-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1096,1096-04-05,96,Kyoto
kyoto,35.0119831,135.6761135,44,1098,1098-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1099,1099-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1102,1102-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1104,1104-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,1105,1105-04-24,114,Kyoto
kyoto,35.0119831,135.6761135,44,1107,1107-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1111,1111-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1112,1112-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1114,1114-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1117,1117-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1118,1118-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1120,1120-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1123,1123-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1124,1124-04-07,98,Kyoto
kyoto,35.0119831,135.6761135,44,1125,1125-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1126,1126-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1127,1127-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1128,1128-04-20,111,Kyoto
kyoto,35.0119831,135.6761135,44,1129,1129-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1130,1130-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1131,1131-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1134,1134-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1139,1139-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1140,1140-04-12,103,Kyoto
kyoto,35.0119831,135.6761135,44,1141,1141-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1143,1143-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1145,1145-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1151,1151-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1154,1154-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1156,1156-03-30,90,Kyoto
kyoto,35.0119831,135.6761135,44,1159,1159-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1161,1161-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1163,1163-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1164,1164-04-09,100,Kyoto
kyoto,35.0119831,135.6761135,44,1165,1165-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1166,1166-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,1167,1167-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1169,1169-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1170,1170-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1172,1172-04-12,103,Kyoto
kyoto,35.0119831,135.6761135,44,1173,1173-04-27,117,Kyoto
kyoto,35.0119831,135.6761135,44,1174,1174-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1175,1175-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1176,1176-04-22,113,Kyoto
kyoto,35.0119831,135.6761135,44,1179,1179-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1180,1180-04-07,98,Kyoto
kyoto,35.0119831,135.6761135,44,1182,1182-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1183,1183-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1184,1184-04-24,115,Kyoto
kyoto,35.0119831,135.6761135,44,1185,1185-04-25,115,Kyoto
kyoto,35.0119831,135.6761135,44,1187,1187-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1188,1188-04-16,107,Kyoto
kyoto,35.0119831,135.6761135,44,1190,1190-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1191,1191-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1194,1194-04-29,119,Kyoto
kyoto,35.0119831,135.6761135,44,1199,1199-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1200,1200-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1201,1201-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1202,1202-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1203,1203-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1204,1204-04-19,110,Kyoto
kyoto,35.0119831,135.6761135,44,1205,1205-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1207,1207-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1210,1210-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1212,1212-04-07,98,Kyoto
kyoto,35.0119831,135.6761135,44,1213,1213-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1214,1214-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1215,1215-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1216,1216-04-10,101,Kyoto
kyoto,35.0119831,135.6761135,44,1219,1219-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1220,1220-04-18,109,Kyoto
kyoto,35.0119831,135.6761135,44,1221,1221-04-09,99,Kyoto
kyoto,35.0119831,135.6761135,44,1223,1223-04-26,116,Kyoto
kyoto,35.0119831,135.6761135,44,1225,1225-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1226,1226-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1227,1227-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1229,1229-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,1230,1230-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1231,1231-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1232,1232-04-01,92,Kyoto
kyoto,35.0119831,135.6761135,44,1233,1233-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1235,1235-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1236,1236-03-27,87,Kyoto
kyoto,35.0119831,135.6761135,44,1240,1240-04-15,106,Kyoto
kyoto,35.0119831,135.6761135,44,1244,1244-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,1245,1245-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1246,1246-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1247,1247-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1249,1249-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1250,1250-04-26,116,Kyoto
kyoto,35.0119831,135.6761135,44,1251,1251-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1254,1254-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1257,1257-04-04,94,Kyoto
kyoto,35.0119831,135.6761135,44,1259,1259-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1262,1262-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,1263,1263-04-30,120,Kyoto
kyoto,35.0119831,135.6761135,44,1264,1264-04-12,103,Kyoto
kyoto,35.0119831,135.6761135,44,1265,1265-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1267,1267-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1268,1268-04-12,103,Kyoto
kyoto,35.0119831,135.6761135,44,1269,1269-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1271,1271-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1275,1275-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1278,1278-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1279,1279-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1280,1280-04-11,102,Kyoto
kyoto,35.0119831,135.6761135,44,1283,1283-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1284,1284-04-11,102,Kyoto
kyoto,35.0119831,135.6761135,44,1285,1285-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1286,1286-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1287,1287-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1288,1288-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,1289,1289-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1292,1292-04-16,107,Kyoto
kyoto,35.0119831,135.6761135,44,1294,1294-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1295,1295-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1301,1301-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,1302,1302-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1307,1307-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1311,1311-04-04,94,Kyoto
kyoto,35.0119831,135.6761135,44,1312,1312-04-09,100,Kyoto
kyoto,35.0119831,135.6761135,44,1314,1314-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1315,1315-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1316,1316-04-12,103,Kyoto
kyoto,35.0119831,135.6761135,44,1317,1317-04-12,102,Kyoto
